message_id,references_found,references_not_found,amounts,dates
MSG000002,,,,2026-05-31
MSG000004,,,260000.0,
MSG000006,,,187000.0,
MSG000007,,,285000.0,
MSG000008,,,344000.0,
MSG000010,,,885000.0,2026-10-05
MSG000013,,,770000.0,
MSG000017,,LA908001,,2025-10-06
MSG000019,LA023342,,,
MSG000020,,,649000.0,
MSG000021,,LA924692,,
MSG000022,,LA016915,,
MSG000034,LA010570,,,
MSG000038,,LA991088,,
MSG000040,,LA934397,,
MSG000042,,LA974463,,
MSG000045,LA013972,,,
MSG000050,,,250000.0,
MSG000052,LA016443,,9000.0,
MSG000057,,,898000.0,
MSG000058,LA026921,,,
MSG000059,,LA934331,,
MSG000060,LA018346,,,
MSG000062,,,,2026-02-24
MSG000064,,,68000.0,
MSG000066,,,362000.0,
MSG000067,,,280000.0,
MSG000079,,,,2025-09-23
MSG000083,,,660000.0,
MSG000087,,LA993181,,
MSG000089,,,305000.0,
MSG000093,LA026192,,,
MSG000097,,,189000.0,
MSG000102,,,787000.0,
MSG000105,,,379000.0,
MSG000106,LA000908,,,
MSG000112,LA025002,,,
MSG000115,LA016756,,,
MSG000132,,LA982185,,
MSG000136,LA032944,,,
MSG000140,,LA946998,,
MSG000141,LA015581,,,2025-03-22
MSG000142,,LA968440,,
MSG000144,,,784000.0,2025-11-24
MSG000146,,,28000.0,
MSG000149,,LA941328,,
MSG000155,,LA994439,,
MSG000160,LA015804,,,
MSG000161,,,185000.0,
MSG000162,,LA004219,,2025-12-02
MSG000165,,,815000.0,
MSG000166,,,175000.0,2026-05-23
MSG000167,LA026641,,,2026-11-06
MSG000168,,,465000.0,
MSG000169,,,897000.0,
MSG000172,,,286000.0,
MSG000175,LA023177,,,
MSG000181,LA028465,,882000.0,
MSG000182,,LA935840,,
MSG000186,,,165000.0,
MSG000190,,,664000.0,
MSG000194,,LA983644,,
MSG000196,LA003070,,,2026-02-02
MSG000199,LA007012,,,
MSG000204,,,39000.0,2025-03-12
MSG000207,,,674000.0,
MSG000208,LA028942,,728000.0,
MSG000210,,,,2025-09-09
MSG000213,,,783000.0,
MSG000215,,,,2025-02-04
MSG000217,LA001390,,,
MSG000220,LA016797,,,
MSG000222,LA013372,,,
MSG000223,,,,2025-10-02
MSG000224,,,401000.0,2025-04-17
MSG000225,,,734000.0,
MSG000226,,,,2026-10-07
MSG000228,,,,2026-05-03
MSG000234,LA030999,,,
MSG000236,,,121000.0,
MSG000238,,,81000.0,
MSG000241,,,,2026-02-18
MSG000243,,,801000.0,
MSG000248,,,,2025-11-07
MSG000251,,,,2025-05-25
MSG000260,LA028279,,,
MSG000266,,,102000.0,
MSG000269,,,,2026-11-06
MSG000271,LA029589,,,
MSG000278,,,196000.0,
MSG000286,,,779000.0,
MSG000287,,LA961630,,
MSG000288,,,877000.0,
MSG000289,,,,2026-10-22
MSG000296,,,86000.0,
MSG000297,,,,2026-05-14
MSG000300,,LA964367,,
MSG000301,,,417000.0,
MSG000308,LA009563,,,2026-11-10
MSG000309,,,,2026-08-17
MSG000311,,,309000.0,
MSG000312,,,25000.0,
MSG000316,,,770000.0,
MSG000327,,LA935155,,
MSG000329,,,83000.0,
MSG000330,,,821000.0,
MSG000332,,,252000.0,
MSG000336,,LA983286,,
MSG000337,LA019409,,,2026-02-02
MSG000340,,,,2025-02-23
MSG000347,,,230000.0,
MSG000352,,,813000.0,
MSG000355,LA023125,,,2025-11-23
MSG000356,LA031926,,,
MSG000358,,,668000.0,
MSG000360,LA000240,,,
MSG000361,,,,2025-11-17
MSG000368,LA032243,,,
MSG000372,,,118000.0,
MSG000375,LA011743,,,
MSG000377,,,455000.0,
MSG000381,,,,2025-07-31
MSG000383,,,,2025-03-24
MSG000385,,,530000.0,
MSG000392,,LA974626,,
MSG000396,LA004245,,,
MSG000398,,LA981528,,
MSG000399,,,,2025-10-30
MSG000401,,LA980130,,
MSG000404,,,,2025-06-07
MSG000406,,,,2025-07-01
MSG000407,,,573000.0,2026-12-05
MSG000408,,,186000.0,2026-05-31
MSG000412,,,,2025-03-18
MSG000413,,,289000.0,
MSG000414,LA020332,,,
MSG000416,,,524000.0,
MSG000421,LA025814,,,
MSG000425,LA004292,,,
MSG000427,LA001348,,,2026-12-04
MSG000432,,,228000.0,
MSG000433,,,,2026-04-20
MSG000435,,,,2025-01-31
MSG000440,LA029586,,,
MSG000447,,,410000.0,
MSG000455,,,167000.0,
MSG000461,LA030812,,,
MSG000467,,,254000.0,
MSG000469,LA005181,,,
