application_id,default_probability,loan_amount_inr,monthly_installment_inr,installment_to_income,credit_band,decision
LP002454,0.939025,1297000,44644.01,0.6674,poor,refer
LP001870,0.938558,722000,16987.42,0.5061,poor,refer
LP004710,0.938216,1060000,29232.63,0.5115,poor,refer
LP003685,0.936332,1318000,45366.85,0.703,poor,refer
LP004492,0.936053,1215000,58623.06,0.7672,poor,refer
LP001637,0.935556,1500000,41366.93,0.561,poor,refer
LP004077,0.934829,770000,21235.02,0.5771,poor,refer
LP004511,0.934191,805000,27708.89,0.6269,poor,refer
LP004537,0.93396,607000,20893.53,0.5207,poor,refer
LP002108,0.93381,733000,25230.58,0.5833,poor,refer
LP003367,0.932539,413000,14215.86,0.5344,poor,refer
LP004522,0.931989,1131000,38930.13,0.5665,poor,refer
LP003576,0.931375,937000,25840.54,0.4099,poor,refer
LP001446,0.931116,1020000,28129.51,0.581,poor,refer
LP001004,0.930309,1404000,38719.45,0.5527,poor,refer
LP003897,0.929982,409000,36819.22,0.7366,poor,refer
LP001038,0.928386,690000,33292.11,0.5862,poor,refer
LP001704,0.928136,849000,40963.76,0.7223,poor,refer
LP001380,0.927633,905000,24958.05,0.459,poor,refer
LP002896,0.926789,1203000,41408.44,0.4411,poor,refer
LP003079,0.92615,824000,22724.23,0.5411,poor,refer
LP000693,0.92592,1209000,41614.96,0.5195,poor,refer
LP003957,0.925498,489000,44021.02,0.6657,fair,refer
LP004450,0.925158,1050000,24704.7,0.445,poor,refer
LP004729,0.925119,491000,44201.07,0.7438,poor,refer
LP004550,0.924913,533000,47982.02,0.7561,poor,refer
LP001052,0.924532,404000,36369.11,0.4965,poor,refer
LP000063,0.924112,321000,28897.24,0.6819,poor,refer
LP003642,0.924082,331000,29797.46,0.7092,poor,refer
LP000925,0.923829,1500000,51631.47,0.5785,poor,refer
LP002092,0.923346,768000,21179.87,0.4093,poor,refer
LP003705,0.922972,1364000,37616.33,0.4497,poor,refer
LP000533,0.922453,406000,36549.15,0.6275,poor,refer
LP001170,0.922065,1500000,41366.93,0.4736,poor,refer
LP000100,0.922031,711000,19607.92,0.5318,fair,refer
LP000529,0.92159,977000,26943.66,0.545,poor,refer
LP003096,0.920982,974000,26860.93,0.4785,poor,refer
LP004839,0.920964,612000,55093.8,0.5889,poor,refer
LP003331,0.920926,762000,21014.4,0.5295,poor,refer
LP002844,0.920815,1500000,51631.47,0.5253,poor,refer
LP001108,0.920578,800000,38599.54,0.5016,poor,refer
LP001240,0.919944,1145000,39412.02,0.6314,poor,refer
LP004957,0.919545,1326000,31198.5,0.5043,poor,refer
LP000799,0.91842,705000,19442.46,0.4974,poor,refer
LP004914,0.918113,416000,36524.66,1.0068,poor,refer
LP000274,0.917296,204000,18364.6,0.7277,poor,refer
LP003061,0.917292,1500000,41366.93,0.5528,poor,refer
LP003314,0.916826,858000,29533.2,0.4587,poor,refer
LP004677,0.916723,819000,22586.34,0.494,poor,refer
LP001250,0.915472,1077000,25339.96,0.4817,poor,refer
LP003489,0.91542,1143000,26892.83,0.499,poor,refer
LP002688,0.91493,867000,29842.99,0.4062,poor,refer
LP000558,0.914678,442000,39789.97,0.6679,poor,refer
LP001148,0.914517,1500000,51631.47,0.5637,poor,refer
LP003763,0.914502,1016000,28019.2,0.4681,fair,refer
LP000026,0.913794,349000,9624.71,0.5078,poor,refer
LP003851,0.91347,1110000,30611.53,0.5295,poor,refer
LP004250,0.913327,1177000,32459.25,0.445,poor,refer
LP002190,0.91323,429000,38619.67,0.6637,poor,refer
LP001115,0.913188,506000,45551.41,0.6222,poor,refer
LP003254,0.912702,608000,16767.4,0.4299,poor,refer
LP000837,0.912577,486000,13402.89,0.4051,poor,refer
LP002203,0.912329,1312000,36182.27,0.4986,poor,refer
