message_id,status,failure,category,urgency,references_found,references_not_found,amounts,dates
MSG029546,processed,,complaint,high,LA016147,,,
MSG029547,processed,,loan_query,low,,,,
MSG029548,processed,,payment_issue,medium,,,,
MSG029549,processed,,complaint,high,,,,2025-11-17
MSG029550,processed,,complaint,high,,,,
MSG029551,processed,,complaint,high,LA031426,,,
MSG029552,processed,,kyc,low,LA029975,,,
MSG029553,processed,,payment_issue,high,,,649000.0,
MSG029554,processed,,loan_query,medium,,,,
MSG029555,processed,,kyc,low,,,,
MSG029556,processed,,complaint,low,,LA912837,,
MSG029557,processed,,kyc,low,LA020242,,,
MSG029558,processed,,complaint,medium,,,16000.0,2026-02-09
MSG029559,processed,,payment_issue,medium,LA031783,,,
MSG029560,processed,,kyc,medium,,,,
MSG029561,processed,,payment_issue,medium,LA022069,,,
MSG029562,processed,,loan_query,medium,,,144000.0,
MSG029563,processed,,complaint,high,,,,
MSG029564,processed,,loan_query,low,,,,
MSG029565,processed,,loan_query,low,,,,
MSG029566,processed,,payment_issue,high,,LA991989,,
MSG029567,processed,,complaint,high,LA002147,,,
MSG029568,processed,,kyc,high,,,,
MSG029569,processed,,payment_issue,high,,LA030164,,
MSG029570,processed,,payment_issue,low,,,,
MSG029571,processed,,loan_query,medium,,LA997623,,
MSG029572,processed,,payment_issue,high,,,,
MSG029573,processed,,loan_query,medium,,,815000.0,
MSG029574,processed,,payment_issue,high,,LA939349,,
MSG029575,processed,,kyc,high,,,,
MSG029576,processed,,kyc,high,LA005570,,,2025-04-19
MSG029577,processed,,loan_query,low,,,,
MSG029578,processed,,loan_query,low,,,788000.0,
MSG029579,processed,,complaint,high,,,,
MSG029580,processed,,complaint,high,,,,
MSG029581,processed,,kyc,medium,,,,
MSG029582,processed,,kyc,low,,,,
MSG029583,processed,,complaint,high,,LA012579,,
MSG029584,processed,,kyc,medium,,,,
MSG029585,processed,,loan_query,medium,,,,
MSG029586,processed,,complaint,low,,,,
MSG029587,processed,,loan_query,low,LA007892,,,
MSG029588,processed,,loan_query,low,,,884000.0,
MSG029589,processed,,payment_issue,high,,,,
MSG029590,processed,,complaint,high,,,,
MSG029591,processed,,payment_issue,medium,,,274000.0,
MSG029592,processed,,loan_query,high,,,,
MSG029593,processed,,loan_query,low,,,,
MSG029594,processed,,loan_query,low,,,,2026-08-03
MSG029595,processed,,loan_query,low,,,,
MSG029596,processed,,payment_issue,high,,,,
MSG029597,processed,,complaint,medium,,,,
MSG029598,processed,,complaint,high,,,,
MSG029599,processed,,loan_query,medium,,,,
MSG029600,processed,,loan_query,low,,,767000.0,
MSG029601,processed,,kyc,high,,,,
MSG029602,processed,,loan_query,medium,,,430000.0,
MSG029603,processed,,complaint,high,LA023773,,,
MSG029604,processed,,payment_issue,medium,,,178000.0,
MSG029605,processed,,kyc,low,,,,
MSG029606,processed,,payment_issue,medium,,,450000.0,
MSG029607,processed,,loan_query,low,,,,
MSG029608,processed,,complaint,medium,LA000998,,,
MSG029609,processed,,complaint,high,,,43000.0,
MSG029610,processed,,loan_query,medium,,,,
MSG029611,processed,,complaint,low,,,,
MSG029612,processed,,complaint,high,,,866000.0,
MSG029613,processed,,complaint,high,,,,2025-03-09
MSG029614,processed,,loan_query,medium,,,257000.0,
MSG029615,processed,,kyc,medium,,,,
MSG029616,processed,,payment_issue,high,,,,
MSG029617,processed,,complaint,high,,,,
MSG029618,processed,,payment_issue,high,,,,
MSG029619,processed,,complaint,medium,,,,
MSG029620,processed,,kyc,medium,LA021157,,,
MSG029621,processed,,kyc,low,,,,
MSG029622,processed,,kyc,high,,,,
MSG029623,processed,,complaint,low,,,,
MSG029624,processed,,payment_issue,medium,LA028529,,,
MSG029625,processed,,complaint,medium,,,,
MSG029626,processed,,kyc,low,,,,
MSG029627,processed,,payment_issue,medium,,,432000.0,
MSG029628,processed,,payment_issue,medium,,,,
MSG029629,processed,,complaint,medium,,,859000.0,
MSG029630,processed,,loan_query,medium,,,895000.0,2025-11-14
MSG029631,processed,,kyc,low,,,,
MSG029632,processed,,kyc,high,,,,
MSG029633,processed,,complaint,high,LA026018,,,
MSG029634,processed,,payment_issue,high,,,847000.0,
MSG029635,processed,,payment_issue,medium,,,459000.0,
MSG029636,processed,,loan_query,low,,,,
MSG029637,processed,,complaint,low,,,,
MSG029638,processed,,complaint,high,LA010152,,,
MSG029639,processed,,payment_issue,high,LA029596,,,
MSG029640,processed,,complaint,medium,,,439000.0,
MSG029641,processed,,loan_query,low,,,,
MSG029642,processed,,loan_query,low,,,,
MSG029643,processed,,loan_query,low,,,,
MSG029644,processed,,complaint,high,,,,
MSG029645,processed,,kyc,high,,,,
MSG029646,processed,,complaint,low,,,,
MSG029647,processed,,payment_issue,high,,,,
MSG029648,processed,,loan_query,medium,,,,
MSG029649,processed,,payment_issue,low,,,785000.0,
MSG029650,processed,,complaint,medium,,,,
MSG029651,processed,,complaint,low,,,,
MSG029652,processed,,kyc,low,,,,
MSG029653,processed,,loan_query,low,,,,
MSG029654,processed,,loan_query,medium,,,,
MSG029655,processed,,loan_query,low,,,,
MSG029656,processed,,complaint,medium,LA011961,,,
MSG029657,processed,,kyc,high,,,,
MSG029658,processed,,complaint,high,,LA022466,,
MSG029659,processed,,complaint,high,,,,
MSG029660,processed,,complaint,medium,,LA920163,,
MSG029661,processed,,complaint,high,,,837000.0,
MSG029662,processed,,complaint,high,LA016744,,,
MSG029663,processed,,complaint,high,LA002239,,,
MSG029664,processed,,loan_query,low,,,,2025-09-09
MSG029665,processed,,payment_issue,medium,,,,
MSG029666,processed,,loan_query,high,,,209000.0,
MSG029667,processed,,loan_query,medium,,,,
MSG029668,processed,,complaint,high,,,442000.0,
MSG029669,processed,,complaint,high,LA000095,,,
MSG029670,processed,,loan_query,low,,,,
MSG029671,processed,,kyc,medium,,,,
MSG029672,processed,,payment_issue,high,,,791000.0,
MSG029673,processed,,complaint,medium,LA006068,,,
MSG029674,processed,,complaint,medium,,,,
MSG029675,processed,,payment_issue,high,,,,
MSG029676,processed,,payment_issue,low,LA030844,,632000.0,
MSG029677,processed,,loan_query,medium,,,,2025-07-19
MSG029678,processed,,loan_query,medium,,,92000.0,
MSG029679,processed,,loan_query,low,,,,
MSG029680,processed,,complaint,high,LA031480,,,
MSG029681,processed,,complaint,high,,LA941887,,2025-01-25
MSG029682,processed,,complaint,medium,LA013552,,,
MSG029683,processed,,kyc,low,,,,
MSG029684,processed,,complaint,medium,LA031964,,,
MSG029685,processed,,kyc,low,LA001632,,,
MSG029686,processed,,complaint,medium,LA031924,,,
MSG029687,processed,,loan_query,medium,,,,
MSG029688,processed,,kyc,medium,,,,
MSG029689,processed,,kyc,low,,,,
MSG029690,processed,,loan_query,medium,,,,
MSG029691,processed,,loan_query,high,,,106000.0,
MSG029692,processed,,payment_issue,medium,,,,2025-03-31
MSG029693,processed,,kyc,low,,,,
MSG029694,processed,,loan_query,high,,,,
MSG029695,processed,,loan_query,low,,,,
MSG029696,processed,,kyc,high,,,,
MSG029697,processed,,payment_issue,high,,,688000.0,2025-02-02
MSG029698,processed,,loan_query,low,,,,
MSG029699,processed,,payment_issue,medium,,,84000.0,
MSG029700,processed,,kyc,medium,,,,
MSG029701,processed,,loan_query,low,,,,
MSG029702,processed,,loan_query,low,,,,
MSG029703,processed,,payment_issue,high,,,,
MSG029704,processed,,payment_issue,high,,,,
MSG029705,processed,,loan_query,high,,,,
MSG029706,processed,,complaint,high,,,,
MSG029707,processed,,complaint,high,,,201000.0,
MSG029708,processed,,payment_issue,high,,,,
MSG029709,processed,,complaint,high,,LA913665,,
MSG029710,processed,,payment_issue,low,,,,
MSG029711,processed,,loan_query,low,,,587000.0,
MSG029712,processed,,loan_query,medium,,,199000.0,
MSG029713,processed,,kyc,medium,,,,
MSG029714,processed,,payment_issue,high,,,,
MSG029715,processed,,kyc,low,,,,
MSG029716,processed,,complaint,high,,,,
MSG029717,processed,,payment_issue,high,,,81000.0,
MSG029718,processed,,payment_issue,high,,,,
MSG029719,processed,,loan_query,low,,,,
MSG029720,processed,,kyc,medium,LA007658,,,
MSG029721,processed,,loan_query,low,,,,
MSG029722,processed,,kyc,low,,,,
MSG029723,processed,,complaint,high,,,,
MSG029724,processed,,payment_issue,high,,,,
MSG029725,processed,,payment_issue,medium,,,441000.0,
MSG029726,processed,,payment_issue,medium,,,662000.0,
MSG029727,processed,,complaint,medium,,,,
MSG029728,processed,,kyc,low,,,,
MSG029729,processed,,kyc,low,,,,
MSG029730,processed,,loan_query,high,,,,
MSG029731,processed,,kyc,high,,,,
MSG029732,processed,,payment_issue,high,,,,2026-03-11
MSG029733,processed,,loan_query,medium,,,657000.0,
MSG029734,processed,,payment_issue,medium,,,,
MSG029735,processed,,complaint,high,,,,2026-06-13
MSG029736,processed,,complaint,high,,,,
MSG029737,processed,,loan_query,medium,,,,
MSG029738,processed,,loan_query,medium,,,,
MSG029739,processed,,payment_issue,medium,,,,
MSG029740,processed,,loan_query,low,,,,
MSG029741,processed,,loan_query,low,,,,
MSG029742,processed,,complaint,medium,,,,
MSG029743,processed,,kyc,high,,,,
MSG029744,processed,,payment_issue,medium,,,452000.0,
MSG029745,processed,,kyc,medium,,,,
MSG029746,processed,,payment_issue,medium,,,573000.0,
MSG029747,processed,,payment_issue,high,,LA954965,,
MSG029748,processed,,payment_issue,medium,,,,
MSG029749,processed,,complaint,high,,LA962601,,
MSG029750,processed,,complaint,medium,,,,
MSG029751,processed,,payment_issue,medium,,,,
MSG029752,processed,,loan_query,low,,,,
MSG029753,processed,,payment_issue,medium,,,481000.0,2026-10-15
MSG029754,processed,,kyc,high,,,,
MSG029755,processed,,complaint,high,,,,2025-06-09
MSG029756,processed,,kyc,high,,,,
MSG029757,processed,,payment_issue,low,,,,
MSG029758,processed,,payment_issue,high,,,,
MSG029759,processed,,payment_issue,high,,,,
MSG029760,processed,,payment_issue,high,LA001221,,,
MSG029761,processed,,complaint,medium,,,,
MSG029762,processed,,kyc,medium,,,,
MSG029763,processed,,complaint,high,LA025032,,,
